month,revenue_actual,revenue_budget,operating_cost_actual,operating_cost_budget,operating_cash_flow
2025-01-01,560000,540000,371000,360000,82000
2025-02-01,575000,555000,378000,370000,88000
2025-03-01,612000,580000,401000,386000,101000
2025-04-01,625000,600000,407000,398000,96000
2025-05-01,641000,615000,421000,408000,108000
2025-06-01,658000,630000,430000,419000,115000
2025-07-01,676000,650000,444000,430000,122000
2025-08-01,645000,670000,438000,442000,100000
2025-09-01,680000,665000,450000,445000,117000
2025-10-01,704000,690000,463000,458000,130000
2025-11-01,730000,710000,478000,470000,142000
2025-12-01,738000,720000,469000,480000,141000
