month,revenue_actual,revenue_budget,operating_cost_actual,operating_cost_budget,operating_cash_flow,revenue_variance,cost_variance,gross_margin
2025-01-01,560000,540000,371000,360000,82000,20000,11000,0.3375
2025-02-01,575000,555000,378000,370000,88000,20000,8000,0.3426086956521739
2025-03-01,612000,580000,401000,386000,101000,32000,15000,0.34477124183006536
2025-04-01,625000,600000,407000,398000,96000,25000,9000,0.3488
2025-05-01,641000,615000,421000,408000,108000,26000,13000,0.34321372854914195
2025-06-01,658000,630000,430000,419000,115000,28000,11000,0.3465045592705167
2025-07-01,676000,650000,444000,430000,122000,26000,14000,0.3431952662721893
2025-08-01,645000,670000,438000,442000,100000,-25000,-4000,0.3209302325581395
2025-09-01,680000,665000,450000,445000,117000,15000,5000,0.3382352941176471
2025-10-01,704000,690000,463000,458000,130000,14000,5000,0.34232954545454547
2025-11-01,730000,710000,478000,470000,142000,20000,8000,0.3452054794520548
2025-12-01,738000,720000,469000,480000,141000,18000,-11000,0.36449864498644985
